model,seed,concept,layer,rank,direction,lang,acc_before,acc_after
__tiny_random__,0,side,0,1,bn,bn,0.8333333333333334,0.8333333333333334
__tiny_random__,0,side,2,1,bn,bn,0.8333333333333334,0.8333333333333334
__tiny_random__,0,side,2,2,bn,bn,0.8333333333333334,0.8333333333333334
__tiny_random__,0,side,0,1,hi,hi,0.9166666666666666,0.8333333333333334
__tiny_random__,0,side,2,1,hi,hi,0.9166666666666666,0.9166666666666666
__tiny_random__,0,side,2,2,hi,hi,0.9166666666666666,0.6666666666666666
__tiny_random__,0,side,0,1,en,en,1.0,1.0
__tiny_random__,0,side,2,1,en,en,1.0,0.6666666666666666
__tiny_random__,0,side,2,2,en,en,1.0,0.5833333333333334
__tiny_random__,0,gender,0,1,bn,bn,1.0,0.9166666666666666
__tiny_random__,0,gender,2,1,bn,bn,1.0,1.0
__tiny_random__,0,gender,2,2,bn,bn,1.0,0.9166666666666666
__tiny_random__,0,gender,0,1,hi,hi,1.0,1.0
__tiny_random__,0,gender,2,1,hi,hi,1.0,1.0
__tiny_random__,0,gender,2,2,hi,hi,1.0,0.9166666666666666
__tiny_random__,0,gender,0,1,en,en,1.0,1.0
__tiny_random__,0,gender,2,1,en,en,1.0,1.0
__tiny_random__,0,gender,2,2,en,en,1.0,1.0
__tiny_random__,0,side,0,1,random,bn,0.8333333333333334,0.8333333333333334
__tiny_random__,0,gender,0,1,random,bn,1.0,1.0
__tiny_random__,0,side,2,1,random,bn,0.8333333333333334,0.9166666666666666
__tiny_random__,0,gender,2,1,random,bn,1.0,1.0
__tiny_random__,0,side,2,2,random,bn,0.8333333333333334,0.8333333333333334
__tiny_random__,0,gender,2,2,random,bn,1.0,1.0
